71	4.02	103
57	2.15	86
80	4	98
75	4	86
77	4	88
60	2	96
86	4.38	95
77	4.28	83
56	2.03	96
81	4.83	90
50	1.83	86
89	5.45	93
54	1.62	89
90	4.87	94
73	4.38	93
60	1.77	91
83	4.67	85
65	2	102
82	4.73	87
84	4.22	90
54	1.9	98
85	4.97	91
58	2	100
79	4	58
57	2	97
88	4	87
68	2.83	92
76	4.5	61
78	4.07	101
74	3.72	91
85	3.52	93
75	4.47	87
65	2.22	92
76	4.88	87
58	2.6	96
91	4.15	89
50	2.2	106
87	4.77	90
48	1.83	95
93	4.6	86
54	2.27	94
86	4.13	82
53	2	90
78	4	90
52	2	91
83	4	96
60	1.88	86
87	4.27	95
49	2.08	61
80	4.47	100
60	2.22	84
92	4	89
43	1.77	93
89	4.33	91
60	2.18	88
84	4.48	88
69	3.88	71
74	3.33	97
71	3.73	70
108	4	92
50	1.95	89
77	5.27	87
57	2	89
80	4	92
61	2	88
82	4	89
48	2	91
81	4	94
73	3.53	85
62	2.17	83
79	4.5	86
54	2.02	89
80	4.15	103
73	4.2	86
81	4.33	94
62	1.93	84
81	4.65	94
71	3.82	88
79	4.03	62
81	4.17	109
74	4.67	86
59	1.82	88
81	4	92
66	3	92
87	4	106
53	2	81
80	4.45	87
50	2.05	94
87	4.25	104
51	1.92	80
82	4.67	115
58	1.73	77
81	4.38	88
49	1.77	92
92	4.6	80
50	1.87	92
88	4.45	91
62	1.63	83
93	5.03	86
56	1.82	86
89	5.1	87
51	1.63	85
79	4.28	97
58	2	98
82	4	86
52	2	92
88	4.53	92
52	2	110
78	4	85
69	2.93	99
75	4.73	93
77	3.9	90
53	1.95	83
80	4.12	100
55	1.8	87
87	4.67	93
53	1.83	92
85	4.7	83
61	2.12	95
93	4.78	84
54	1.82	102
76	4.1	85
80	4.65	105
81	4	81
59	2	91
86	4	82
78	4	84
71	4.22	93
77	4.13	98
76	3.93	89
94	3.75	93
75	4.42	92
50	2.47	94
83	4.17	81
82	3.8	94
72	4.32	85
77	3.87	90
75	4.68	88
65	1.7	95
79	4.97	87
72	4.27	91
78	4.58	97
77	4	88
79	4	87
75	4	94
78	4	97
64	1.98	92
80	4.6	95
49	.83	103
88	4.92	90
54	1.73	91
85	4.58	89
51	1.7	95
96	4.75	101
50	1.83	90
80	4.5	92
78	1.87	61
81	4.45	109
72	4.45	85
75	4	91
78	4.8	107
87	4	89
69	4	91
55	2	97
83	4	92
49	1.93	91
82	4.58	98
57	2	95
84	3.7	93
57	2.87	84
84	4.83	85
73	3.45	95
78	4.38	90
57	1.8	98
79	4.4	91
57	2.48	96
90	4.52	90
62	2.1	99
87	4.35	86
78	4.37	96
52	1.78	82
98	4.92	94
48	1.82	91
78	4	68
79	4	98
65	4	85
84	3.87	92
50	1.85	89
83	4.7	93
60	2.02	92
80	4.47	103
50	1.87	98
88	4.17	95
50	1.9	100
84	4.25	97
74	3.25	84
76	4.22	93
65	1.88	90
89	4.98	89
49	1.85	91
88	4	83
51	1.97	83
78	4.77	86
85	4	86
65	2	93
75	4	87
77	4	100
69	2.38	87
92	4.42	96
68	4.22	82
87	4.37	88
61	2	88
81	4.45	86
55	1.75	87
93	4.5	88
53	1.62	91
84	4.7	107
70	2.57	91
73	3.7	60
93	4.23	104
50	1.93	93
87	4.35	95
77	4	104
74	4	102
72	4	88
82	4.22	106
74	4	90
80	4.13	94
49	1.88	93
91	4.47	94
53	1.95	92
86	4.22	97
49	1.72	100
79	4.45	94
89	4.25	98
87	3.97	81
76	4.38	94
59	1.97	88
80	4.45	94
89	4.27	96
45	1.92	84
93	4.42	89
72	3	104
71	4	95
54	2	95
79	4	102
74	3.28	88
65	1.83	88
78	4.62	99
57	1.83	92
87	4.62	90
72	4.6	87
84	4.25	93
47	1.93	93
84	4.98	99
57	1.97	99
87	4.3	63
68	4.2	88
86	4.53	95
75	4.4	93
73	4.62	88
53	2	96
82	4	93
93	4	91
77	3.92	74
54	2	99
96	4.5	93
48	1.8	95
89	4	97
63	2.75	98
84	4.73	93
76	3.97	91
62	1.95	83
83	4.97	98
50	1.85	84
85	4.8	98
78	4	101
78	4	83
81	4	108
78	4	85
76	4	96
74	4	90
81	4	90
66	2	94
84	4	91
48	1.93	94
93	4.33	84
47	1.67	97
87	4.77	83
51	1.95	101
78	4.68	71
54	1.93	93
87	4.42	88
52	2.13	72
85	4.08	108
58	2.07	85
88	4	101
79	4	91
